,Class
1873,1.0
10375,0.0
666,1.0
12034,1.0
4019,0.0
2783,0.0
13583,1.0
3935,1.0
11076,0.0
2040,0.0
2361,0.0
6382,1.0
9603,1.0
6435,1.0
9577,0.0
8454,1.0
8864,0.0
2482,1.0
16307,0.0
14162,1.0
8312,0.0
6030,1.0
6308,0.0
12384,1.0
11469,1.0
3288,0.0
7783,1.0
3365,1.0
8281,1.0
2536,0.0
10301,0.0
14974,0.0
8670,0.0
84,1.0
12926,0.0
1254,0.0
401,1.0
7331,0.0
17611,0.0
1580,1.0
2047,1.0
908,1.0
15598,1.0
463,1.0
739,1.0
11012,1.0
5051,0.0
17439,0.0
2588,0.0
14044,0.0
6120,1.0
3060,1.0
11984,1.0
5136,0.0
9191,0.0
6865,1.0
3580,0.0
203,1.0
10110,1.0
16427,0.0
10562,1.0
9642,1.0
10602,1.0
3985,1.0
15328,0.0
10268,1.0
6199,1.0
2503,0.0
7673,1.0
10844,1.0
4472,1.0
12492,0.0
15921,0.0
4070,1.0
14693,0.0
1740,1.0
10606,0.0
15113,0.0
3581,1.0
3280,1.0
10754,0.0
9950,1.0
8367,0.0
475,1.0
1195,0.0
5048,1.0
2421,1.0
15746,0.0
10948,1.0
8356,0.0
3976,1.0
197,1.0
1120,1.0
17276,0.0
193,1.0
6629,1.0
9327,0.0
5188,1.0
5032,1.0
1589,0.0
6864,1.0
6408,1.0
6742,1.0
1805,1.0
1040,0.0
8131,1.0
14088,0.0
12241,1.0
14278,0.0
3656,0.0
1777,0.0
17101,1.0
79,1.0
6410,0.0
3735,1.0
8845,0.0
286,0.0
1210,1.0
10854,1.0
511,0.0
3777,0.0
550,0.0
7832,1.0
2910,1.0
9164,1.0
1124,0.0
3204,1.0
3049,0.0
752,1.0
952,1.0
3754,1.0
9878,0.0
14564,0.0
4047,1.0
16118,0.0
6955,0.0
2453,0.0
13675,0.0
1980,1.0
1276,1.0
2068,0.0
16622,0.0
14655,1.0
8815,0.0
11526,1.0
10909,1.0
4446,0.0
13536,0.0
17054,0.0
4027,1.0
4692,0.0
9621,1.0
12376,1.0
7752,1.0
6881,1.0
11501,1.0
11860,1.0
3981,1.0
17513,0.0
586,1.0
12136,0.0
3625,0.0
1446,1.0
8974,0.0
11796,1.0
1693,1.0
12611,1.0
13499,1.0
16443,0.0
12927,0.0
7336,0.0
3756,1.0
11657,1.0
9494,1.0
10408,1.0
5231,0.0
4022,1.0
15403,0.0
13945,0.0
2967,1.0
6620,1.0
9397,1.0
12810,1.0
15368,1.0
3246,0.0
1304,1.0
3265,0.0
11105,1.0
6886,1.0
293,0.0
1374,1.0
9450,1.0
15572,0.0
8885,1.0
1136,0.0
6099,1.0
427,1.0
5715,1.0
7609,0.0
807,1.0
340,0.0
3481,0.0
16218,0.0
8610,1.0
13839,0.0
16557,0.0
10910,1.0
3315,1.0
9044,1.0
13909,0.0
972,0.0
7801,1.0
6424,1.0
9242,1.0
3650,1.0
6425,1.0
2974,1.0
9004,1.0
2960,1.0
4372,1.0
12286,1.0
130,1.0
11802,1.0
402,0.0
7780,1.0
901,1.0
6947,0.0
6551,0.0
8768,1.0
13286,1.0
3009,1.0
16742,1.0
1542,0.0
1363,1.0
14495,0.0
6914,1.0
11516,1.0
14907,0.0
1589,1.0
16788,0.0
6875,1.0
4982,0.0
2569,1.0
3270,0.0
10302,1.0
10121,0.0
13898,1.0
5023,1.0
234,1.0
10292,0.0
1528,1.0
4135,1.0
5983,1.0
6353,1.0
3476,0.0
609,1.0
10771,1.0
3699,1.0
20,1.0
1159,0.0
2359,1.0
6429,0.0
16152,0.0
1851,1.0
5227,1.0
1792,0.0
13159,1.0
13900,0.0
2488,1.0
93,1.0
7874,0.0
5955,0.0
5082,1.0
4131,1.0
12154,0.0
7034,1.0
5886,1.0
4837,1.0
11366,1.0
6188,1.0
9362,1.0
14970,0.0
8022,1.0
1967,0.0
1776,0.0
14728,0.0
8000,1.0
3801,0.0
13607,0.0
10870,1.0
15982,0.0
11432,0.0
14413,1.0
14511,0.0
7016,1.0
15522,1.0
1984,1.0
8727,1.0
2781,1.0
9647,1.0
7268,1.0
11023,1.0
1975,1.0
658,0.0
3616,0.0
752,1.0
2082,1.0
14861,0.0
3250,1.0
16632,0.0
3578,0.0
4032,0.0
9423,1.0
1888,0.0
9384,1.0
4058,1.0
3411,1.0
2228,1.0
6216,1.0
11201,1.0
3653,1.0
14317,1.0
1602,1.0
5156,1.0
1795,1.0
4673,0.0
14424,1.0
2365,0.0
48,0.0
14425,0.0
11786,1.0
10446,1.0
4049,0.0
10867,1.0
712,1.0
11523,0.0
12588,1.0
1945,1.0
3453,1.0
801,1.0
958,1.0
16254,0.0
4756,0.0
12974,0.0
6121,0.0
12700,0.0
12164,1.0
17143,0.0
15169,0.0
6900,1.0
8818,1.0
4591,0.0
1872,1.0
17675,0.0
4141,0.0
6960,1.0
15462,0.0
17407,0.0
1214,1.0
3038,0.0
16912,0.0
3870,0.0
10546,1.0
4307,1.0
8406,0.0
186,1.0
9540,0.0
11092,1.0
2541,0.0
315,1.0
2913,0.0
1039,1.0
2332,1.0
3973,0.0
5710,1.0
4134,1.0
730,1.0
357,0.0
13206,0.0
12608,0.0
13242,1.0
499,1.0
12118,1.0
17326,0.0
543,1.0
7105,1.0
16043,0.0
147,0.0
8202,1.0
13369,1.0
15793,0.0
242,0.0
10348,1.0
3596,0.0
13198,0.0
8472,1.0
8820,1.0
13795,0.0
1953,0.0
7050,1.0
1595,0.0
4094,0.0
4257,1.0
6092,1.0
11489,1.0
4120,0.0
2681,0.0
845,1.0
16078,1.0
13585,0.0
1652,1.0
1784,0.0
63,1.0
1,0.0
9742,0.0
3463,0.0
7126,1.0
16053,0.0
8318,1.0
2145,0.0
3666,0.0
1039,0.0
9831,1.0
12811,1.0
14691,0.0
13805,0.0
2272,0.0
17174,1.0
8061,0.0
4374,1.0
12623,0.0
7892,0.0
9136,1.0
9528,1.0
3927,0.0
3623,1.0
13989,0.0
2032,0.0
15756,0.0
15340,0.0
11070,1.0
5972,0.0
4202,1.0
3565,0.0
3450,0.0
6869,1.0
9833,1.0
1613,1.0
15299,0.0
16055,1.0
11311,0.0
4991,0.0
7846,0.0
11970,1.0
414,1.0
4206,1.0
1176,0.0
6240,1.0
9655,1.0
15174,0.0
12515,1.0
16447,0.0
17071,0.0
447,1.0
11235,1.0
7308,1.0
9281,1.0
9211,1.0
11865,1.0
1515,1.0
9119,0.0
8357,0.0
6833,1.0
5305,1.0
10182,0.0
5322,1.0
8215,1.0
8995,1.0
733,1.0
8027,1.0
7173,1.0
15882,0.0
17361,0.0
16124,0.0
11570,1.0
11078,1.0
1279,0.0
15957,0.0
10728,1.0
8518,0.0
1414,0.0
1131,0.0
8146,1.0
12398,0.0
2238,1.0
8842,0.0
5663,1.0
1622,0.0
10573,1.0
8847,0.0
10574,1.0
14794,0.0
12935,0.0
7610,1.0
5917,0.0
2538,1.0
3299,1.0
14991,0.0
151,1.0
1143,1.0
7279,1.0
1662,1.0
12353,1.0
2214,1.0
8145,1.0
2106,0.0
17578,1.0
11889,1.0
8552,1.0
1557,1.0
11149,1.0
10961,1.0
10355,1.0
8172,0.0
423,1.0
12276,1.0
5501,1.0
13375,0.0
7154,1.0
1473,0.0
2185,0.0
6326,0.0
484,1.0
3847,1.0
11062,1.0
1316,0.0
1341,0.0
4942,1.0
8102,0.0
15973,0.0
3066,1.0
12527,0.0
15375,0.0
1577,0.0
1245,1.0
11569,1.0
15075,0.0
10712,0.0
17533,0.0
11728,1.0
15543,0.0
14614,0.0
16978,1.0
1990,0.0
8282,1.0
10486,0.0
831,0.0
8371,1.0
6707,1.0
17209,1.0
3713,1.0
122,0.0
2610,0.0
3465,0.0
2803,1.0
13650,0.0
954,0.0
5763,1.0
12346,1.0
1331,1.0
12963,0.0
10333,0.0
12558,1.0
4745,0.0
4077,0.0
1271,0.0
2592,1.0
4853,0.0
1692,0.0
1460,1.0
1404,1.0
11683,1.0
12053,1.0
1889,1.0
8604,1.0
2975,0.0
9333,1.0
14478,0.0
4236,1.0
15267,0.0
4742,0.0
11627,0.0
1209,1.0
8361,0.0
6004,1.0
7137,0.0
9165,0.0
14439,0.0
8257,1.0
1091,0.0
3121,1.0
12755,0.0
16552,0.0
3328,1.0
1534,1.0
8860,0.0
1412,0.0
9049,0.0
16076,0.0
5514,1.0
2615,1.0
2637,0.0
6761,1.0
8937,1.0
2665,1.0
15022,1.0
5439,1.0
13314,1.0
1388,1.0
3438,1.0
9484,1.0
8553,1.0
13018,0.0
16483,0.0
12819,0.0
12965,0.0
4897,1.0
3153,1.0
7983,1.0
14939,0.0
2218,1.0
6463,1.0
4207,1.0
15888,0.0
15190,1.0
1768,0.0
7678,1.0
9817,1.0
1283,1.0
388,1.0
12921,0.0
12714,0.0
10410,1.0
620,0.0
5251,0.0
12581,1.0
11704,1.0
1666,1.0
2241,0.0
17406,0.0
5728,1.0
12044,1.0
5749,1.0
1003,1.0
5158,1.0
3421,0.0
3409,1.0
8225,1.0
9678,0.0
6897,1.0
11575,1.0
1806,0.0
6889,1.0
2087,0.0
6134,1.0
13075,0.0
7859,0.0
2147,1.0
2793,1.0
2663,1.0
4039,1.0
3890,0.0
15537,1.0
4340,0.0
3195,1.0
14058,0.0
2954,0.0
1378,1.0
15819,0.0
5450,1.0
8141,1.0
4246,1.0
2311,0.0
1200,1.0
5996,1.0
12787,0.0
17089,0.0
3796,1.0
539,0.0
1281,0.0
8415,1.0
4437,0.0
5107,1.0
1448,1.0
12818,0.0
14694,0.0
3290,1.0
379,0.0
7133,0.0
13414,0.0
6491,1.0
7474,0.0
4626,0.0
17252,0.0
223,0.0
3546,1.0
58,1.0
2443,0.0
16113,1.0
13073,0.0
1973,1.0
1571,0.0
14503,0.0
2282,0.0
2822,0.0
2022,1.0
892,1.0
3239,0.0
2416,1.0
8829,0.0
3098,1.0
2557,1.0
14370,0.0
12881,0.0
1665,1.0
2526,0.0
3345,1.0
903,0.0
9315,0.0
182,0.0
1302,1.0
11684,1.0
14975,0.0
7041,1.0
1854,0.0
5793,1.0
1120,1.0
3672,1.0
15860,0.0
14459,1.0
7179,1.0
1459,0.0
6816,1.0
627,1.0
9425,1.0
3967,0.0
4025,0.0
1927,0.0
4984,0.0
16051,0.0
838,1.0
9061,0.0
589,0.0
2442,1.0
12897,0.0
3657,1.0
4261,0.0
11339,1.0
8898,0.0
10468,1.0
1579,1.0
7761,1.0
16233,1.0
10064,1.0
14561,0.0
12831,0.0
14562,0.0
4931,0.0
16738,0.0
9491,0.0
10140,0.0
10438,0.0
249,0.0
8362,0.0
12972,0.0
782,1.0
11329,0.0
4000,1.0
10616,0.0
10716,0.0
706,1.0
5035,1.0
10039,1.0
2087,0.0
4981,0.0
8269,0.0
7659,1.0
10600,1.0
3220,0.0
2590,0.0
5930,0.0
1074,0.0
17139,0.0
5147,1.0
4528,0.0
578,1.0
5036,0.0
1095,1.0
5847,1.0
7286,1.0
4255,1.0
8519,0.0
2707,1.0
3059,0.0
16186,0.0
5803,1.0
14114,1.0
10284,0.0
11476,1.0
4230,1.0
12650,0.0
3998,0.0
8499,1.0
885,0.0
1040,0.0
2898,1.0
5567,0.0
9936,1.0
8308,1.0
2446,0.0
7655,0.0
15729,0.0
17291,0.0
269,1.0
8036,0.0
11148,0.0
2096,1.0
3858,0.0
2459,0.0
3130,1.0
3478,0.0
5291,1.0
1011,0.0
5785,1.0
5364,1.0
16590,0.0
14458,0.0
12825,1.0
9837,1.0
5315,0.0
8396,1.0
9529,0.0
12031,1.0
935,0.0
17038,1.0
12841,0.0
14721,0.0
2541,1.0
1344,0.0
1465,1.0
360,0.0
7957,0.0
2604,1.0
960,0.0
3556,1.0
1149,0.0
2955,0.0
2052,0.0
1899,1.0
2055,0.0
7327,1.0
16605,1.0
7160,1.0
16372,0.0
6587,1.0
6235,1.0
3045,0.0
16642,0.0
16567,0.0
16611,0.0
2618,1.0
17366,0.0
17522,0.0
14681,1.0
16173,0.0
16845,1.0
12373,1.0
12938,0.0
14884,0.0
17020,0.0
3609,0.0
2354,1.0
3511,0.0
1269,1.0
13278,0.0
5812,1.0
7723,1.0
1503,1.0
3313,0.0
12070,0.0
1237,0.0
9999,1.0
7725,1.0
17311,1.0
4149,1.0
1399,0.0
8796,1.0
2395,0.0
9941,1.0
9725,1.0
16388,0.0
1660,0.0
768,1.0
17604,0.0
15413,0.0
15681,0.0
15391,0.0
3112,0.0
13112,0.0
10508,1.0
9662,1.0
2512,1.0
9470,0.0
3538,1.0
5736,0.0
16354,0.0
16226,0.0
2747,1.0
1173,1.0
103,1.0
14342,1.0
1662,0.0
11434,1.0
11612,0.0
9444,0.0
835,1.0
8197,1.0
6754,1.0
11177,1.0
9944,0.0
1695,1.0
654,1.0
14472,0.0
3512,1.0
6037,1.0
6069,0.0
501,1.0
269,1.0
519,0.0
4352,0.0
6439,0.0
10713,0.0
16015,0.0
16034,0.0
2359,0.0
12172,1.0
938,1.0
8902,0.0
15857,0.0
8983,0.0
15498,0.0
6978,1.0
17222,1.0
2135,0.0
4966,1.0
1848,1.0
3933,0.0
2775,1.0
10904,0.0
11745,1.0
3120,0.0
16547,0.0
16749,0.0
1211,1.0
1168,1.0
6970,1.0
1086,1.0
14628,0.0
13477,0.0
1320,1.0
11203,1.0
2056,1.0
5946,1.0
6307,1.0
12552,0.0
6479,1.0
3380,1.0
5555,1.0
1319,0.0
1770,0.0
13866,0.0
10812,1.0
2145,0.0
40,1.0
1002,1.0
3563,1.0
2266,1.0
131,1.0
10265,1.0
3221,1.0
4881,0.0
15629,0.0
4919,1.0
14229,0.0
16858,1.0
12694,1.0
1624,0.0
314,1.0
14897,0.0
1826,0.0
11407,1.0
11357,1.0
7971,0.0
9547,0.0
6492,1.0
12795,0.0
4603,0.0
11343,1.0
9455,0.0
1275,1.0
10426,0.0
10409,1.0
2217,1.0
2996,1.0
3793,0.0
7894,0.0
2534,1.0
2719,1.0
17153,1.0
10973,0.0
16349,1.0
17151,1.0
16154,1.0
8462,1.0
3941,0.0
11978,1.0
15261,0.0
4752,0.0
9215,0.0
5722,0.0
8167,1.0
4706,0.0
17490,0.0
5380,1.0
3224,0.0
6294,1.0
8975,1.0
16708,0.0
450,1.0
2265,0.0
844,0.0
13893,0.0
9963,0.0
822,0.0
12829,0.0
17210,0.0
536,1.0
12620,1.0
3728,0.0
10858,0.0
1837,0.0
2051,1.0
9628,1.0
802,1.0
11253,1.0
6238,1.0
1891,0.0
10564,0.0
5204,1.0
2053,1.0
9757,1.0
1146,1.0
560,0.0
13297,1.0
1689,0.0
5517,1.0
1307,1.0
11220,1.0
4615,0.0
10289,1.0
14983,0.0
13136,0.0
16964,0.0
167,0.0
2450,0.0
7640,1.0
5118,0.0
14670,0.0
4823,1.0
6244,1.0
455,1.0
1989,0.0
2422,1.0
2848,1.0
3853,0.0
183,0.0
14468,0.0
6499,1.0
3545,1.0
7354,0.0
12846,1.0
3773,1.0
100,0.0
6441,0.0
8548,1.0
3743,0.0
10550,0.0
2765,0.0
834,1.0
11378,1.0
3753,1.0
1708,1.0
255,0.0
1823,0.0
2616,0.0
1303,0.0
17248,0.0
17237,1.0
9618,1.0
11074,0.0
4200,1.0
6236,1.0
3931,1.0
10686,1.0
6915,1.0
10774,1.0
934,0.0
12792,0.0
16305,0.0
12060,1.0
12531,0.0
8139,0.0
1954,1.0
12838,1.0
1664,1.0
2010,1.0
14000,0.0
16901,0.0
5643,1.0
12459,0.0
2875,1.0
10913,1.0
1038,0.0
3159,0.0
2705,1.0
4849,0.0
5997,1.0
16678,0.0
3358,1.0
14981,1.0
15295,0.0
11080,0.0
10837,1.0
13514,0.0
14405,0.0
9040,0.0
1724,1.0
9503,1.0
14071,0.0
15028,1.0
1034,1.0
5001,1.0
12900,0.0
1013,1.0
10748,0.0
17303,0.0
1541,0.0
10246,1.0
2698,1.0
2287,0.0
5000,1.0
16699,0.0
12793,0.0
11147,0.0
10150,1.0
2004,1.0
723,0.0
17348,0.0
9146,0.0
272,1.0
10720,0.0
1559,1.0
45,1.0
10865,1.0
17449,1.0
17577,1.0
97,1.0
6144,0.0
14390,0.0
15218,1.0
9238,0.0
10332,1.0
16955,0.0
1334,0.0
7889,0.0
16481,0.0
17120,0.0
219,1.0
1985,0.0
14916,0.0
2436,0.0
11550,1.0
17538,1.0
11420,1.0
2364,1.0
17462,0.0
3985,1.0
14397,0.0
1635,1.0
1675,1.0
3921,1.0
16765,0.0
5377,1.0
2836,0.0
13082,0.0
5953,1.0
2140,0.0
6076,1.0
9100,1.0
17169,1.0
2814,1.0
9710,1.0
537,0.0
6367,0.0
1140,1.0
13042,0.0
4117,0.0
6137,0.0
469,1.0
9418,0.0
8546,1.0
12753,0.0
10646,0.0
4231,0.0
15472,0.0
618,1.0
8153,1.0
1311,0.0
13961,1.0
1013,0.0
16321,0.0
189,1.0
5301,1.0
6670,1.0
3252,1.0
16991,0.0
3548,0.0
7720,1.0
16860,0.0
14847,0.0
17585,0.0
5237,1.0
9319,1.0
12936,0.0
8606,1.0
14546,0.0
11927,1.0
3266,0.0
2210,1.0
12296,0.0
7851,1.0
290,0.0
1122,0.0
2657,0.0
3479,0.0
8872,0.0
5764,1.0
423,1.0
15152,0.0
2658,0.0
15959,0.0
5519,1.0
8725,1.0
13833,0.0
4376,1.0
3527,0.0
1248,1.0
11508,1.0
1836,1.0
8765,1.0
1089,1.0
13349,1.0
8140,1.0
1043,0.0
16602,0.0
520,1.0
983,0.0
1365,1.0
11381,1.0
15682,1.0
13117,0.0
2597,0.0
15495,0.0
16522,0.0
4798,0.0
6253,1.0
4489,0.0
5145,1.0
3462,1.0
378,1.0
358,0.0
15358,0.0
11573,1.0
16970,1.0
16182,0.0
2071,1.0
10670,0.0
5538,1.0
15059,0.0
16098,0.0
2544,0.0
17230,1.0
2235,0.0
1175,1.0
13599,1.0
16159,1.0
5810,1.0
10510,1.0
3410,0.0
8030,0.0
4353,0.0
12046,1.0
6065,1.0
7586,1.0
6880,1.0
6196,1.0
2316,1.0
8741,1.0
14870,0.0
8084,0.0
17393,0.0
2388,0.0
6706,0.0
1882,1.0
14567,0.0
2719,0.0
8411,1.0
1257,1.0
15754,0.0
5386,1.0
2641,0.0
4319,1.0
3283,1.0
3079,1.0
2201,0.0
2653,0.0
13425,0.0
17070,0.0
8578,1.0
1291,1.0
10689,0.0
2694,0.0
1337,1.0
1346,0.0
114,1.0
1441,1.0
473,0.0
2182,1.0
8705,0.0
5223,1.0
13232,0.0
1777,0.0
7758,1.0
5867,0.0
4287,0.0
13944,1.0
15946,0.0
6804,1.0
13092,0.0
15533,0.0
16787,0.0
6614,1.0
4034,0.0
6688,1.0
502,1.0
381,0.0
7145,1.0
3674,0.0
16490,1.0
399,1.0
13402,0.0
3643,0.0
9239,1.0
15571,1.0
136,1.0
1505,0.0
11043,1.0
8480,1.0
13342,1.0
390,1.0
6827,1.0
7469,1.0
17176,1.0
4746,0.0
14806,0.0
3596,1.0
14732,0.0
4218,1.0
2585,1.0
3139,1.0
7626,0.0
2088,0.0
11943,1.0
15644,0.0
12283,0.0
3998,1.0
1880,1.0
2446,1.0
6426,0.0
8941,1.0
14103,1.0
3289,1.0
6594,1.0
14465,1.0
426,0.0
2472,1.0
1151,0.0
4027,1.0
6937,1.0
6933,1.0
14923,1.0
4694,0.0
14699,1.0
13766,0.0
12765,0.0
12984,0.0
10448,0.0
6782,1.0
806,1.0
634,1.0
8498,1.0
10371,1.0
4112,1.0
4260,1.0
9572,1.0
3215,1.0
30,1.0
15280,0.0
1834,0.0
823,1.0
3659,0.0
16767,0.0
1843,1.0
2402,1.0
9984,0.0
6809,1.0
12692,0.0
2711,0.0
2198,0.0
11616,1.0
7766,0.0
10481,1.0
15487,0.0
3163,1.0
2340,0.0
15669,0.0
8879,0.0
654,1.0
8093,1.0
522,1.0
3235,0.0
11668,1.0
15827,0.0
2727,1.0
1114,1.0
6495,0.0
14763,0.0
3708,0.0
5027,1.0
374,0.0
2100,1.0
9317,1.0
2994,1.0
8041,0.0
11100,1.0
8351,1.0
1276,0.0
10491,1.0
14038,1.0
919,1.0
4305,1.0
11870,0.0
7278,1.0
11491,1.0
2133,0.0
10221,0.0
7317,1.0
16685,1.0
2822,1.0
11064,1.0
864,1.0
13611,1.0
3960,0.0
16424,1.0
15273,1.0
863,0.0
9416,1.0
9163,1.0
12220,1.0
3566,1.0
1721,0.0
4026,1.0
6921,1.0
2669,1.0
2760,1.0
8788,1.0
639,1.0
15379,0.0
4133,0.0
4623,1.0
567,0.0
16206,0.0
8910,1.0
13359,1.0
74,0.0
1925,1.0
4465,1.0
1306,1.0
5382,1.0
8021,1.0
5459,1.0
9272,1.0
4304,1.0
12205,1.0
10228,0.0
7688,1.0
7669,0.0
6330,1.0
1114,0.0
10056,0.0
7947,0.0
14852,1.0
2215,0.0
2123,1.0
959,1.0
7663,0.0
1796,1.0
9901,1.0
3175,0.0
2183,1.0
1058,0.0
1965,1.0
2630,0.0
1081,1.0
6848,1.0
4817,1.0
